,easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
0,34100.0,18600.0,0.04,0.006999999999999999,0.33799999999999997,9540033.412999999,0.11043424940191,0.8895657505980901,758302.4389260098,169.6713850637946
2,34306.0,18600.0,0.07,0.02,0.33799999999999997,9562733.599,0.10978259429677846,0.8902174057032215,937076.7840697886,288.119942108274
4,34512.0,18600.0,0.07,0.02,0.33899999999999997,9585670.68,0.10913572461549673,0.8908642753845033,977525.4440020677,351.3714680793995
6,34718.0,18600.0,0.06,0.013999999999999999,0.33899999999999997,9608831.992999999,0.10849372416179097,0.8915062758382091,609404.5286999638,304.87767660822976
8,34924.0,18600.0,0.05,0.009000000000000001,0.33899999999999997,9632204.68,0.10785667719474974,0.8921433228052502,1037506.5952721513,244.92326120442345
10,35129.0,18600.0,0.04,0.006,0.33899999999999997,9655775.707,0.10722466858079448,0.8927753314192055,500501.6110965487,293.37815500956685
12,35335.0,18600.0,0.07,0.025,0.33899999999999997,9679531.883,0.10659778393955446,0.8934022160604456,640186.3302881116,253.73031037814167
14,35541.0,18600.0,0.09,0.032,0.34,9703459.867999999,0.1059761097838407,0.8940238902161592,287427.2749135862,263.14629238320725
16,35747.0,18600.0,0.07,0.023,0.34,9727546.197,0.10535973365405137,0.8946402663459486,913910.5204203482,300.6410991027564
18,35953.0,18600.0,0.06,0.013999999999999999,0.34,9763942.845,0.10444529763011004,0.8955547023698901,1030841.256610506,266.52097270348753
20,36159.0,18600.0,0.07,0.023,0.341,9788365.393,0.10384255745026108,0.8961574425497391,776622.7340742978,322.58619280608355
22,36365.0,18600.0,0.07,0.019,0.341,9812898.33,0.10324543160124723,0.8967545683987528,596415.2091127223,308.02980070320575
24,36571.0,18600.0,0.08,0.022000000000000002,0.341,9837527.773,0.1026540137783869,0.8973459862216131,1162896.723927252,292.83212042851466
26,36776.0,18600.0,0.06,0.011000000000000001,0.341,9862239.776,0.10206839936013352,0.8979316006398664,741909.7121323162,392.8292881402679
28,36982.0,18600.0,0.06,0.013999999999999999,0.342,9887020.344,0.10148868551560228,0.8985113144843977,1090409.1614659852,320.45253795004163
30,37188.0,18600.0,0.08,0.021,0.342,9911855.439,0.1009149713097078,0.8990850286902922,678359.4838905776,375.2806744679405
32,37394.0,18600.0,0.06,0.015,0.342,9936730.992999999,0.10034735780617918,0.8996526421938208,1472021.582392876,276.79616514936987
34,37600.0,18600.0,0.07,0.015,0.342,9961632.909,0.09978594816909628,0.9002140518309037,1723611.453991174,301.54551691153324
36,37806.0,18600.0,0.05,0.008,0.34299999999999997,9986547.077,0.09923084776321857,0.9007691522367814,1704535.389402393,270.87520644872444
38,38012.0,18600.0,0.05,0.01,0.34299999999999997,10011459.374,0.09868216425334833,0.9013178357466516,910872.270662186,390.8359681634028
40,38218.0,18600.0,0.06,0.013999999999999999,0.34299999999999997,10036355.672,0.0981400077030319,0.901859992296968,1029912.1529944252,252.5609373926505
42,38423.0,18600.0,0.04,0.004,0.34299999999999997,10061221.845,0.0976044906731445,0.9023955093268556,495856.54400445905,236.81509498929253
44,38629.0,18600.0,0.07,0.025,0.344,10086043.775,0.09707572831994528,0.9029242716800548,870751.750598943,269.93057092004443
46,38835.0,18600.0,0.07,0.022000000000000002,0.344,10110807.354,0.09655383849338492,0.9034461615066149,1330298.6355667792,306.6014742021247
48,39041.0,18600.0,0.07,0.022000000000000002,0.344,10135498.489,0.09603894183514762,0.9039610581648524,427409.1751407865,286.32827781018534
50,39247.0,18600.0,0.06,0.015,0.345,10160103.109,0.09553116187673977,0.9044688381232604,847266.352196452,218.52657545213336
52,39453.0,18600.0,0.05,0.012,0.345,10196817.098,0.09478311335323532,0.9052168866467648,1014807.8996216756,239.62921300064124
54,39659.0,18600.0,0.08,0.037000000000000005,0.345,10221144.026,0.09429368544212624,0.9057063145578738,655844.4662725023,295.89417707961513
56,39865.0,18600.0,0.06,0.017,0.34600000000000003,10245335.396,0.09381183075894027,0.9061881692410596,543931.8138269695,267.6654745056795
58,40070.0,18600.0,0.08,0.03,0.34600000000000003,10269377.265,0.0933376870441908,0.9066623129558092,696674.9862283313,321.41280584090265
60,40276.0,18600.0,0.07,0.019,0.34600000000000003,10293255.734,0.09287139545824072,0.9071286045417593,749276.6487167047,238.99108539828987
62,40482.0,18600.0,0.05,0.012,0.34600000000000003,10316956.94,0.09241310067288593,0.907586899327114,784886.1289584493,307.70962958120083
64,40688.0,18600.0,0.06,0.012,0.34700000000000003,10340467.066,0.09196295095983338,0.9080370490401666,722986.9416032321,356.0210585345494
66,40894.0,18600.0,0.08,0.025,0.34700000000000003,10363772.34,0.0915210982754994,0.9084789017245006,307450.7292517044,257.0104794276716
68,41100.0,18600.0,0.06,0.013999999999999999,0.34700000000000003,10386859.037999999,0.09108769834079967,0.9089123016592005,697839.3665973535,310.53478708065603
70,41306.0,18600.0,0.06,0.013999999999999999,0.348,10409713.491,0.09066291071523999,0.9093370892847601,742398.5638396629,308.0345598296752
72,41512.0,18600.0,0.07,0.021,0.348,10432322.082999999,0.09024689886377693,0.9097531011362232,1274222.5034075652,353.5763707836716
74,41717.0,18600.0,0.09,0.04,0.348,10454671.256000001,0.08983983021510453,0.9101601697848954,214996.15454492625,361.49144934473776
