Easting (ft),Northing (ft),OOIP (STB),Recoverable Reserves (STB)
4700.0,400.0,592648.3908832789,140206.81946630235
4700.0,800.0,595421.2251778862,140206.81946630235
48400.0,819.0,934712.1297753492,140206.81946630232
48400.0,1447.0,934712.1297753492,140206.81946630232
48400.0,2075.0,934712.1297753487,140206.81946630232
48400.0,2703.0,934712.1297753487,140189.34588629694
48400.0,3331.0,934712.1297753487,140189.34588629694
48400.0,3959.0,934595.6392419798,140189.34588629703
48400.0,4587.0,934595.6392419798,140180.00379563856
48400.0,5215.0,934595.6392419802,140180.00379563856
